Replay End State,taup,Ap,Max of ID
1DRP,11.75,-0.01,1551
1DRP,25.94,0.00,1552
BiDRP,22.43,0.00,1516
Elm,5.45,-0.07,1509
Elm,9.23,-0.04,1532
Elm,10.02,-0.22,1543
Elm,14.82,-0.05,1525
Elm,15.95,-0.02,1531
Elm,16.94,-0.05,1526
Elm,17.13,-0.08,1553
Elm,18.16,-0.24,1548
Elm,18.19,-0.04,1512
Elm,20.59,-0.18,1530
Elm,20.65,-0.03,1545
Elm,20.68,-0.05,1508
Elm,21.41,-0.05,1513
Elm,22.77,-0.01,1537
Elm,24.26,-0.11,1540
Elm,25.35,-0.06,1528
Elm,27.81,-0.05,1538
Elm,27.84,-0.01,1515
